#Metadata; Text; Color (ARGB)
#Example: Metadata/Chests/StrongBoxes/Strongbox; ; ff00FF00

Metadata/Monsters/Perandus/PerandusGuardBasic3; Kuto, Hired Muscle; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardBasic4; Luthis, Bounty Hunter; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardBasic5; Belatra, Hired Assassin; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSupport1; Liana, Indebted Peasant; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSupport2; Marius, Indebted Smuggler; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSupport3; Vera, Indebted Aristocrat; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSupport4; Percia, Indebted Poacher; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss1; Sutrus, Vault Binder; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss2; Otairo, Vault Binder; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss3; Eiphirio, Vault Binder; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss4; Artensia, Vault Binder; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss5_; Anaveli, Vault Binder; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss6; Rothus, Vault Binder; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss7; Arinea, Vault Binder; ffFFD700
Metadata/Monsters/Perandus/PerandusGuardSecondaryBoss8; Meritania, Vault Binder; ffFFD700

Metadata/Monsters/Squid/SquidBossSideArea; The All-seeing Eye; ffDC143C
Metadata/Monsters/Goatman/GoatmanLeapBossSideArea; Konu, Maker of Wind; ffDC143C
Metadata/Monsters/GhostPirates/GhostPirateBossSideArea; Coniraya, Shadow of Malice; ffDC143C
Metadata/Monsters/DemonModular/DemonModularElementsBossSideArea; Atziri's Pride; ffDC143C
Metadata/Monsters/Goatman/GoatmanShamanBossSideArea; Sheaq, Maker of Floods; ffDC143C
Metadata/Monsters/Skeleton/SkeletonMeleeLargeBossSideArea; Ossecati, Boneshaper; ffDC143C
Metadata/Monsters/RootSpiders/RootSpiderBossSideArea; Kamaq, Soilmaker; ffDC143C
Metadata/Monsters/Kiweth/KiwethBossSideArea; Inti of the Blood Moon; ffDC143C
Metadata/Monsters/incaminion/FragmentBossSideArea; Shrapnelbearer; ffDC143C
Metadata/Monsters/Snake/SnakeRoboBossSideArea; Wiraqucha, Ancient Guardian; ffDC143C
Metadata/Monsters/DemonFemale/WhipDemonBossSideArea; Cava, Artist of Pain; ffDC143C
Metadata/Monsters/Pyromaniac/PyromaniacBossSideArea; Curator Miem; ffDC143C
Metadata/Monsters/BloodChieftain/MonkeyChiefBossSideArea; Simi, the Nature Touched; ffDC143C
Metadata/Monsters/InsectSpawner/CarrionQueenBossSideArea; The Sunburst Queen; ffDC143C
Metadata/Monsters/Totems/TotemBossSideArea; M'gaska, the Living Pyre; ffDC143C
Metadata/Monsters/Spiders/SpiderBossSideArea; Cintiq, the Inescapable; ffDC143C
Metadata/Monsters/Snake/SnakeScorpionBossSideArea; Thornrunner; ffDC143C
Metadata/Monsters/Cannibal/CannibalBossSideArea; Perquil the Lucky; ffDC143C
Metadata/Monsters/Skeletons/ConstructMeleeBossSideArea; Haviri, Vaal Metalsmith; ffDC143C
Metadata/Monsters/Skeletons/ConstructRangedBossSideArea; Kutec, Vaal Fleshsmith; ffDC143C
Metadata/Monsters/AnimatedItem/AnimatedArmourBossSideArea; Shadow of Vengeance; ffDC143C
Metadata/Monsters/DemonBosses/DemonBoss1/Demon1BossSideArea; Beheader Ataguchu; ffDC143C
Metadata/Monsters/DemonBosses/DemonBoss2/Demon2BossSideArea; Wiraq, the Impaler; ffDC143C
Metadata/Monsters/DemonBosses/DemonBoss3/Demon3BossSideArea; Ch'aska, Maker of Rain; ffDC143C
Metadata/Monsters/SandSpitterEmerge/SandSpitterBossSideArea; Mother of the Hive; ffDC143C
Metadata/Monsters/Seawitch/SeaWitchBossSideArea; Rima, Deep Temptress; ffDC143C

Metadata/Monsters/Axis/AxisCasterBossInvasion; Invasion Boss, Evocata Apocalyptica; ffDC143C
Metadata/Monsters/Axis/AxisExperimenterBossInvasion; Invasion, Boss Docere Incarnatis; ffDC143C
Metadata/Monsters/Axis/AxisSoldierBossInvasion; Invasion Boss, Corrector Draconides; ffDC143C
Metadata/Monsters/Bandits/BanditMeleeBossInvasion; Invasion Boss Balus Stoneskull; ffDC143C
Metadata/Monsters/Bandits/BanditBowBossInvasion; Invasion Boss, Kall Foxfly; ffDC143C
Metadata/Monsters/Beasts/BeastBossInvasion; Invasion Boss, Marrowcrush; ffDC143C
Metadata/Monsters/Rhoas/RhoaBossInvasion; Invasion Boss, The Cadaver Bull; ffDC143C
Metadata/Monsters/BloodChieftain/BloodChieftainBossInvasion; Invasion Boss, Junglemare; ffDC143C
Metadata/Monsters/BloodElemental/BloodElementalBossInvasion; Invasion Boss, The Sanguine Wave; ffDC143C
Metadata/Monsters/Cannibal/CannibalMaleBossInvasion; Invasion Boss, Graveblood; ffDC143C
Metadata/Monsters/Cannibal/CannibalFemaleBossInvasion; Invasion Boss, Nighteater; ffDC143C
Metadata/Monsters/Undying/CityStalkerMaleBossInvasion; Invasion Boss, The Book Burner; ffDC143C
Metadata/Monsters/Undying/CityStalkerFemaleBossInvasion; Invasion Boss, The Bolt Juggler; ffDC143C
Metadata/Monsters/DemonFemale/DemonFemaleBossInvasion; Invasion Boss, Avatar of Pain; ffDC143C
Metadata/Monsters/DemonModular/DemonModularBossInvasion; Invasion Boss, Rancor; ffDC143C
Metadata/Monsters/DemonModular/DemonFemaleRangedBossInvasion; Invasion Boss, Hatespitter; ffDC143C
Metadata/Monsters/MossMonster/FireMonsterBossInvasion; Invasion Boss, Bluntslag; ffDC143C
Metadata/Monsters/Monkeys/FlameBearerBossInvasion; Invasion Boss, The Revenant; ffDC143C
Metadata/Monsters/incaminion/FragmentBossInvasion; Invasion Boss, Judgement Apparatus; ffDC143C
Metadata/Monsters/Frog/FrogBossInvasion; Invasion Boss, Spinesnap; ffDC143C
Metadata/Monsters/GemMonster/GemFrogBossInvasion; Invasion Boss, Genesis Paradisae; ffDC143C
Metadata/Monsters/Goatman/GoatmanBossInvasion; Invasion Boss, Death from Above; ffDC143C
Metadata/Monsters/Goatman/GoatmanShamanBossInvasion; Invasion Boss, Guardian of the Mound; ffDC143C
Metadata/Monsters/Grappler/GrapplerBossInvasion; Invasion Boss, Wonderwalker; ffDC143C
Metadata/Monsters/Guardians/GuardianFireBossInvasion; Invasion Boss, The Raging Mask; ffDC143C
Metadata/Monsters/Guardians/GuardianLightningBossInvasion; Invasion Boss, The Teetering Mask; ffDC143C
Metadata/Monsters/Guardians/GuardianHeadFireBossInvasion; Invasion Boss, The Furious Mask; ffDC143C
Metadata/Monsters/Guardians/GuardianHeadColdBossInvasion; Invasion Boss, The Callous Mask; ffDC143C
Metadata/Monsters/Guardians/GuardianHeadLightningBossInvasion; Invasion Boss, The Capricious Mask; ffDC143C
Metadata/Monsters/GemMonster/IguanaBossInvasion; Invasion Boss, Alpha Paradisae; ffDC143C
Metadata/Monsters/InsectSpawner/CarrionQueenBossInvasion; Invasion Boss, Mother of the Swarm; ffDC143C
Metadata/Monsters/Kiweth/KiwethBossInvasion; Invasion Boss, Deathflutter; ffDC143C
Metadata/Monsters/Lion/LionBossInvasion; Invasion Boss, Bladetooth; ffDC143C
Metadata/Monsters/MossMonster/MossMonsterBossInvasion; Invasion Boss, Granitecrush; ffDC143C
Metadata/Monsters/Necromancer/NecromancerBossInvasion; Invasion Boss, Corpsestitch; ffDC143C
Metadata/Monsters/Pyromaniac/PyromaniacBossInvasion; Invasion Boss, The Firestarter; ffDC143C
Metadata/Monsters/RootSpiders/RootSpiderBossInvasion; Invasion Boss, Wrigglechaw; ffDC143C
Metadata/Monsters/SandSpitterEmerge/SandSpitterBossInvasion; Invasion Boss, Blinkflame; ffDC143C
Metadata/Monsters/Seawitch/SeaWitchBossInvasion; Invasion Boss, The Duchess; ffDC143C
Metadata/Monsters/ShieldCrabs/ShieldCrabBossInvasion; Invasion Boss, Shivershell; ffDC143C
Metadata/Monsters/SandSpitters/SandSpitterFromCrabBossInvasion; Invasion Boss, Shivershell; ffDC143C
Metadata/Monsters/Beasts/BeastSkeletonBossInvasion; Invasion Boss, Mammothcage; ffDC143C
Metadata/Monsters/Skeletons/SkeletonElementalBossInvasion; Invasion Boss, Harbinger of Elements; ffDC143C
Metadata/Monsters/Skeletons/SkeletonBowBossInvasion; Invasion Boss, Nightsight; ffDC143C
Metadata/Monsters/Snake/SnakeMeleeBossInvasion; Invasion Boss, Tailsinger; ffDC143C
Metadata/Monsters/Snake/SnakeRangedBossInvasion; Invasion Boss, Razorleaf; ffDC143C
Metadata/Monsters/Spawn/SpawnBossInvasion; Invasion Boss, Stranglecreep; ffDC143C
Metadata/Monsters/Spiders/SpiderBossInvasion; Invasion Boss, Pewterfang; ffDC143C
Metadata/Monsters/Spikers/SpikerBossInvasion; Invasion Boss, Bladeback Guardian; ffDC143C
Metadata/Monsters/Squid/SquidBossInvasion; Invasion Boss, Strangledrift; ffDC143C
Metadata/Monsters/Totems/TotemBossInvasion; Invasion Boss, Jikeji; ffDC143C
Metadata/Monsters/Rhoas/RhoaUndeadBossInvasion; Invasion Boss, Ghostram; ffDC143C
Metadata/Monsters/Undying/UndyingBossInvasion; Invasion Boss, Stranglecrawl; ffDC143C
Metadata/Monsters/WaterElemental/WaterElementalBossInvasion; Invasion Boss, Mirageblast; ffDC143C
Metadata/Monsters/ZombieDismember/ZombieBossInvasion; Invasion Boss, The Walking Waste; ffDC143C
Metadata/Monsters/Monkeys/MonkeyBossInvasion1; Invasion Boss, Blood Stasis; ffDC143C 
Metadata/Monsters/Monkeys/MonkeyBossInvasion2; Invasion Boss, Blood Morpher; ffDC143C
Metadata/Monsters/Skeletons/SkeletonMeleeBossInvasion; Invasion Boss, Glassmaul; ffDC143C
Metadata/Monsters/Skeletons/SkeletonLargeBossInvasion; Invasion Boss, Grath; ffDC143C
Metadata/Monsters/Skeletons/ConstructBossInvasion; Invasion Boss, The Spiritless; ffDC143C
Metadata/Monsters/GhostPirates/GhostPirateBossInvasion; Invasion Boss, Droolscar; ffDC143C
Metadata/Monsters/Rhoas/RhoaAlbino; Albino Rhoa

Metadata/Monsters/Spirit/TormentedArsonist; Tormented Arsonist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedFreezer; Tormented Aurora Cultist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedBlasphemer; Tormented Blasphemer; ffC6FFC6
Metadata/Monsters/Spirit/TormentedCannibal; Tormented Cannibal; ffC6FFC6
Metadata/Monsters/Spirit/TormentedCharlatan; Tormented Charlatan; ffC6FFC6
Metadata/Monsters/Spirit/TormentedCutthroat; Tormented Cutthroat; ffC6FFC6
Metadata/Monsters/Spirit/TormentedEmbezzler; Tormented Embezzler; ffFF00FF
Metadata/Monsters/Spirit/TormentedCounterfeiter; Tormented Forger; ffC6FFC6
Metadata/Monsters/Spirit/TormentedMartyr; Tormented Martyr; ffC6FFC6
Metadata/Monsters/Spirit/TormentedMutilator; Tormented Mutilator; ffC6FFC6
Metadata/Monsters/Spirit/TormentedNecromancer; Tormented Necromancer; ffC6FFC6
Metadata/Monsters/Spirit/TormentedPoisoner; Tormented Poisoner; ffC6FFC6
Metadata/Monsters/Spirit/TormentedRogue; Tormented Rogue; ffC6FFC6
Metadata/Monsters/Spirit/TormentedLibrarian; Tormented Seditionist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedSmuggler; Tormented Smuggler; ffC6FFC6
Metadata/Monsters/Spirit/TormentedSpy; Tormented Spy; ffC6FFC6
Metadata/Monsters/Spirit/TormentedExperimenter; Tormented Storm Cultist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedThief; Tormented Thief; ffC6FFC6
Metadata/Monsters/Spirit/TormentedThug; Tormented Thug; ffC6FFC6
Metadata/Monsters/Spirit/TormentedCorrupter; Tormented Vaal Cultist; ffC6FFC6
Metadata/Monsters/Spirit/TormentedWarlord; Tormented Warlord; ffC6FFC6
Metadata/Monsters/Spirit/TormentedFisherman; Tormented Illegal Fisherman; ffFF00FF

Metadata/Monsters/Wb/WbLightningGrunt1; Brinerot Raider
Metadata/Monsters/Wb/WbLightningGrunt2; Brinerot Raider
Metadata/Monsters/Wb/WbLightningGrunt3; Brinerot Raider
Metadata/Monsters/Wb/WbLightningGrunt4; Brinerot Raider
Metadata/Monsters/Wb/WbLightningGrunt5; Brinerot Raider
Metadata/Monsters/Wb/WbLightningGrunt6; Brinerot Raider
Metadata/Monsters/Wb/WbLightningSupport1; Brinerot Soothesayer
Metadata/Monsters/Wb/WbLightningSupport2; Brinerot Soothesayer
Metadata/Monsters/Wb/WbLightningSupport3; Brinerot Soothesayer
Metadata/Monsters/Wb/WbLightningSupport4; Brinerot Soothesayer
Metadata/Monsters/Wb/WbLightningSupport4Clone; Brinerot Soothesayer
Metadata/Monsters/Wb/WbLightningElite1; Brinerot Stormhand
Metadata/Monsters/Wb/WbLightningElite2; Brinerot Stormhand
Metadata/Monsters/Wb/WbLightningElite3; Brinerot Stormhand
Metadata/Monsters/Wb/WbLightningLeader1; Musky "Two-Eyes" Grenn; ffFFFF00
Metadata/Monsters/Wb/WbLightningLeader2; Susara, Siren of Pondium; ffFFFF00
Metadata/Monsters/Wb/WbLightningLeader3; Lussi "Rotmother" Roth; ffFFFF00
Metadata/Monsters/Wb/WbColdGrunt1; Mutewind Wildrunner
Metadata/Monsters/Wb/WbColdGrunt2; Mutewind Wildrunner
Metadata/Monsters/Wb/WbColdGrunt3; Mutewind Wildrunner
Metadata/Monsters/Wb/WbColdGrunt4; Mutewind Wildrunner
Metadata/Monsters/Wb/WbColdGrunt5; Mutewind Wildrunner
Metadata/Monsters/Wb/WbColdGrunt6; Mutewind Wildrunner
Metadata/Monsters/Wb/WbColdGrunt7; Mutewind Wildrunner
Metadata/Monsters/Wb/WbColdLynx1; Mutewind Lynx
Metadata/Monsters/Wb/WbColdSupport1; Mutewind Hexbinder
Metadata/Monsters/Wb/WbColdSupport2; Mutewind Hexbinder
Metadata/Monsters/Wb/WbColdSupport3; Mutewind Hexbinder
Metadata/Monsters/Wb/WbColdSupport4; Mutewind Hexbinder
Metadata/Monsters/Wb/WbColdElite1; Mutewind Snow-singer
Metadata/Monsters/Wb/WbColdElite2; Mutewind Snow-singer
Metadata/Monsters/Wb/WbColdElite3; Mutewind Snow-singer
Metadata/Monsters/Wb/WbColdElite4; Mutewind Snow-singer
Metadata/Monsters/Wb/WbColdElite4Clone; Mutewind Snow-singer
Metadata/Monsters/Wb/WbColdLeader1; Yorishi, Aurora-sage; ffFFFF00
Metadata/Monsters/Wb/WbColdLeader2; Jeinei Yuushu; ffFFFF00
Metadata/Monsters/Wb/WbColdLeader2Clone; Jeinei Yuushu; ffFFFF00
Metadata/Monsters/Wb/WbColdLeader3; Otesha, the Giantslayer; ffFFFF00
Metadata/Monsters/Wb/WbFireGrunt1; Redblade Skullbreaker
Metadata/Monsters/Wb/WbFireGrunt2_; Redblade Skullbreaker
Metadata/Monsters/Wb/WbFireGrunt3; Redblade Skullbreaker
Metadata/Monsters/Wb/WbFireGrunt4; Redblade Skullbreaker
Metadata/Monsters/Wb/WbFireGrunt5; Redblade Skullbreaker
Metadata/Monsters/Wb/WbFireGrunt6_; Redblade Skullbreaker
Metadata/Monsters/Wb/WbFireSupport1; Redblade Flamelord
Metadata/Monsters/Wb/WbFireSupport2; Redblade Flamelord
Metadata/Monsters/Wb/WbFireSupport3; Redblade Flamelord
Metadata/Monsters/Wb/WbFireSupport4; Redblade Flamelord
Metadata/Monsters/Wb/WbFireElite1; Redblade Warmonger
Metadata/Monsters/Wb/WbFireElite2_; Redblade Warmonger
Metadata/Monsters/Wb/WbFireElite3; Redblade Warmonger
Metadata/Monsters/Wb/WbFireElite4; Redblade Warmonger
Metadata/Monsters/Wb/WbFireLeader1; Uruk Baleh; ffFFFF00
Metadata/Monsters/Wb/WbFireLeader2; El'Abin, Bloodeater; ffFFFF00
Metadata/Monsters/Wb/WbFireLeader3; Leli Goya, Daughter of Ash; ffFFFF00
Metadata/Monsters/Wb/WbFireLeader4; Bin'aia, Crimson Rain; ffFFFF00
Metadata/Monsters/Skeletons/WbLightningEliteSummon1; Thunder Guardian
Metadata/Monsters/Skeletons/WbLightningEliteSummon2; Flayed Archer
Metadata/Monsters/Skeletons/WbLightningEliteSummon3; Thunder Champion
Metadata/Monsters/Skeletons/WbSkeletonMinionMelee; Risen Legionnaire
Metadata/Monsters/Skeletons/WbSkeletonMinionRanged; Risen Archer
Metadata/Monsters/Skeletons/WbSkeletonMinionCasterFire; Risen Battlemage
Metadata/Monsters/Skeletons/WbSkeletonMinionCasterCold; Risen Battlemage
Metadata/Monsters/Skeletons/WbSkeletonMinionCasterLightning; Risen Battlemage
Metadata/Monsters/Wb/WbChaosLeader1; Rama, The Kinslayer; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader2; Kalria, The Fallen; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader2Skeleton; Kalria, The Risen; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader3; Invari, The Bloodshaper; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader4; Lokan, The Deceiver; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader4Minion; Lokan, The Deceiver; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader5; Marchak, The Betrayer; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader6; Berrots, The Breaker; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader7; Vessider, The Unrivaled; ffD01F90
Metadata/Monsters/Wb/WbChaosLeader8; Morgrants, The Defeaning; ffD01F90

Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire1; Gemling Legionnaire
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire2; Gemling Legionnaire
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire3; Gemling Legionnaire
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire4; Gemling Legionnaire
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire5; Gemling Legionnaire
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire6; Gemling Legionnaire
Metadata/Monsters/GemlingLegionnaire/GemlingLegionnaire7; Gemling Legionnaire

Metadata/Monsters/Revenant/RevenantBoss; The Bone Queen
Metadata/Monsters/Revenant/RevenantMapBoss; Thraxia
Metadata/Monsters/DaressoExiles/ExileArenaMarauder; Gladiator Dimachaeri Cassius
Metadata/Monsters/DaressoExiles/ExileArenaWitch; Gladiator Mevia
Metadata/Monsters/DaressoExiles/ExileArenaRanger; Gladiator Rudiarius Felix
Metadata/Monsters/GladiatorBosses/GladiatorBossSupport; Gladiator Rudiarius Felix
Metadata/Monsters/GladiatorBosses/GladiatorBossLeader; Gladiator Mevion
Metadata/Monsters/GladiatorBosses/GladiatorBossElite; Gladiator Dimachaeri Cassius
Metadata/Monsters/GladiatorBosses/GladiatorBossSupportMap; Avatar of the Huntress
Metadata/Monsters/GladiatorBosses/GladiatorBossLeaderMap; Avatar of the Skies
Metadata/Monsters/GladiatorBosses/GladiatorBossEliteMap; Avatar of the Forge

Metadata/Monsters/Daemon/TempestDaemonSmokeTrail_; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonDevourCorpses; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonCharges; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalFire; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberFire; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalCold; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberCold; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalLightning; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberLightning; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalNecromancy; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberNecromancy; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalPhysical; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalUberPhysical; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalCurses; Tempest Daemon
Metadata/Monsters/Daemon/TempestDaemonEnvironmentalSmoke; Tempest Daemon
